Anbieter,Typ,Wert,Zeitraum
SWB,Arbeitspreis,"11,77 ct/kWh",01.01.2025
SWB,Grundpreis,"132,38 €/Jahr",01.01.2025
Rheinische Energie AG,Arbeitspreis,"16,93 ct/kWh",01.04.2024
Rheinische Energie AG,Grundpreis,"179,93 €/Jahr",01.04.2024
Stadtwerke Bad Kreuznach,Arbeitspreis,"13,64 ct/kWh",01.01.2025
Stadtwerke Bad Kreuznach,Grundpreis,"199,92 €/Jahr",01.01.2025
E.ON Oststeinbek,Arbeitspreis,"10,90 ct/kWh",01.01.2025
E.ON Oststeinbek,Grundpreis,"261,90 €/Jahr",01.01.2025
ENTEGA PLUS,Arbeitspreis,"12,86 ct/kWh",01.04.2025
ENTEGA PLUS,Grundpreis,"228,00 €/Jahr",01.04.2025
Stadtwerke Dinslaken,Arbeitspreis,"11,95 ct/kWh",01.01.2025
Stadtwerke Dinslaken,Grundpreis,"120,00 €/Jahr",01.01.2025
Stadtwerke Jülich,Arbeitspreis,"14,40 ct/kWh",01.04.2024
Stadtwerke Jülich,Grundpreis,"200,06 €/Jahr",01.04.2024
Stadtwerke Kamp-Lintfort,Arbeitspreis,"15,58 ct/kWh",01.01.2025
Stadtwerke Kamp-Lintfort,Grundpreis,"200,40 €/Jahr",01.01.2025
Stadtwerke Kleve,Arbeitspreis,"10,95 ct/kWh",01.01.2025
Stadtwerke Kleve,Grundpreis,"102,22 €/Jahr",01.01.2025
Stadtwerke Meerbusch,Arbeitspreis,"14,28 ct/kWh",01.04.2024
Stadtwerke Meerbusch,Grundpreis,"237,60 €/Jahr",01.04.2024
Stadtwerke Neuss,Arbeitspreis,"12,55 ct/kWh",01.01.2025
Stadtwerke Neuss,Grundpreis,"205,12 €/Jahr",01.01.2025
Stadtwerke Düsseldorf,Arbeitspreis,"11,97 ct/kWh",01.01.2025
Stadtwerke Düsseldorf,Grundpreis,"100,67 €/Jahr",01.01.2025
E.ON Dortmund,Arbeitspreis,"14,23 ct/kWh",01.01.2025
